
============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Sat Nov 21 18:37:50 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <109> procnanny.server.c(167), NULL pointer free'd
NULL free: <110> procnanny.server.c(167), NULL pointer free'd
NULL free: <111> procnanny.server.c(167), NULL pointer free'd
NULL free: <112> procnanny.server.c(167), NULL pointer free'd
NULL free: <113> procnanny.server.c(167), NULL pointer free'd
NULL free: <114> procnanny.server.c(167), NULL pointer free'd
NULL free: <115> procnanny.server.c(167), NULL pointer free'd
NULL free: <116> procnanny.server.c(167), NULL pointer free'd
NULL free: <117> procnanny.server.c(167), NULL pointer free'd
NULL free: <118> procnanny.server.c(167), NULL pointer free'd
NULL free: <119> procnanny.server.c(167), NULL pointer free'd
NULL free: <120> procnanny.server.c(167), NULL pointer free'd
NULL free: <121> procnanny.server.c(167), NULL pointer free'd
NULL free: <122> procnanny.server.c(167), NULL pointer free'd
NULL free: <123> procnanny.server.c(167), NULL pointer free'd
NULL free: <124> procnanny.server.c(167), NULL pointer free'd
NULL free: <125> procnanny.server.c(167), NULL pointer free'd
NULL free: <126> procnanny.server.c(167), NULL pointer free'd
NULL free: <127> procnanny.server.c(167), NULL pointer free'd
NULL free: <128> procnanny.server.c(167), NULL pointer free'd
NULL free: <129> procnanny.server.c(167), NULL pointer free'd
NULL free: <130> procnanny.server.c(167), NULL pointer free'd
NULL free: <131> procnanny.server.c(167), NULL pointer free'd
NULL free: <132> procnanny.server.c(167), NULL pointer free'd
NULL free: <133> procnanny.server.c(167), NULL pointer free'd
NULL free: <134> procnanny.server.c(167), NULL pointer free'd
NULL free: <135> procnanny.server.c(167), NULL pointer free'd
NULL free: <136> procnanny.server.c(167), NULL pointer free'd
NULL free: <137> procnanny.server.c(167), NULL pointer free'd
NULL free: <138> procnanny.server.c(167), NULL pointer free'd
NULL free: <139> procnanny.server.c(167), NULL pointer free'd
NULL free: <140> procnanny.server.c(167), NULL pointer free'd
NULL free: <141> procnanny.server.c(167), NULL pointer free'd
NULL free: <142> procnanny.server.c(167), NULL pointer free'd
NULL free: <143> procnanny.server.c(167), NULL pointer free'd
NULL free: <144> procnanny.server.c(167), NULL pointer free'd
NULL free: <145> procnanny.server.c(167), NULL pointer free'd
NULL free: <146> procnanny.server.c(167), NULL pointer free'd
NULL free: <147> procnanny.server.c(167), NULL pointer free'd
NULL free: <148> procnanny.server.c(167), NULL pointer free'd
NULL free: <149> procnanny.server.c(167), NULL pointer free'd
NULL free: <150> procnanny.server.c(167), NULL pointer free'd
NULL free: <151> procnanny.server.c(167), NULL pointer free'd
NULL free: <152> procnanny.server.c(167), NULL pointer free'd
NULL free: <153> procnanny.server.c(167), NULL pointer free'd
NULL free: <154> procnanny.server.c(167), NULL pointer free'd
NULL free: <155> procnanny.server.c(167), NULL pointer free'd
NULL free: <156> procnanny.server.c(167), NULL pointer free'd
NULL free: <157> procnanny.server.c(167), NULL pointer free'd
NULL free: <158> procnanny.server.c(167), NULL pointer free'd
NULL free: <159> procnanny.server.c(167), NULL pointer free'd
NULL free: <160> procnanny.server.c(167), NULL pointer free'd
NULL free: <161> procnanny.server.c(167), NULL pointer free'd
NULL free: <162> procnanny.server.c(167), NULL pointer free'd
NULL free: <163> procnanny.server.c(167), NULL pointer free'd
NULL free: <164> procnanny.server.c(167), NULL pointer free'd
NULL free: <165> procnanny.server.c(167), NULL pointer free'd
NULL free: <166> procnanny.server.c(167), NULL pointer free'd
NULL free: <167> procnanny.server.c(167), NULL pointer free'd
NULL free: <168> procnanny.server.c(167), NULL pointer free'd
NULL free: <169> procnanny.server.c(167), NULL pointer free'd
NULL free: <170> procnanny.server.c(167), NULL pointer free'd
NULL free: <171> procnanny.server.c(167), NULL pointer free'd
NULL free: <172> procnanny.server.c(167), NULL pointer free'd
NULL free: <173> procnanny.server.c(167), NULL pointer free'd
NULL free: <174> procnanny.server.c(167), NULL pointer free'd
NULL free: <175> procnanny.server.c(167), NULL pointer free'd
NULL free: <176> procnanny.server.c(167), NULL pointer free'd
NULL free: <177> procnanny.server.c(167), NULL pointer free'd
NULL free: <178> procnanny.server.c(167), NULL pointer free'd
NULL free: <179> procnanny.server.c(167), NULL pointer free'd
NULL free: <180> procnanny.server.c(167), NULL pointer free'd
NULL free: <181> procnanny.server.c(167), NULL pointer free'd
NULL free: <182> procnanny.server.c(167), NULL pointer free'd
NULL free: <183> procnanny.server.c(167), NULL pointer free'd
NULL free: <184> procnanny.server.c(167), NULL pointer free'd
NULL free: <185> procnanny.server.c(167), NULL pointer free'd
NULL free: <186> procnanny.server.c(167), NULL pointer free'd
NULL free: <187> procnanny.server.c(167), NULL pointer free'd
NULL free: <188> procnanny.server.c(167), NULL pointer free'd
NULL free: <189> procnanny.server.c(167), NULL pointer free'd
NULL free: <190> procnanny.server.c(167), NULL pointer free'd
NULL free: <191> procnanny.server.c(167), NULL pointer free'd
NULL free: <192> procnanny.server.c(167), NULL pointer free'd
NULL free: <193> procnanny.server.c(167), NULL pointer free'd
NULL free: <194> procnanny.server.c(167), NULL pointer free'd
NULL free: <195> procnanny.server.c(167), NULL pointer free'd
NULL free: <196> procnanny.server.c(167), NULL pointer free'd
NULL free: <197> procnanny.server.c(167), NULL pointer free'd
NULL free: <198> procnanny.server.c(167), NULL pointer free'd
NULL free: <199> procnanny.server.c(167), NULL pointer free'd
